ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,Group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_1_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root_bad,Group2_R1EIC1_2_root_bad,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_bad,Group4_R3DNC1_1_root,Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root,Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
DHB019,2526.42041,2581.96948,28.3470993,40.1558151,1502.65613,447.652222,513.786438,1634.5332,9705.06055,14684.2998,6414.04541,6887.36377,5995.12549,7876.11816,2041.43567,3292.65356,816.406616,4652.979,111.473854,22.6443233,488.282318,2861.87012,426.442963,1314.76746
DHB020,17.4456367,0,0,0,38.5683212,35.4509621,0,0,7603.69824,7751.19775,0,0,61.5917625,44.1031151,2.47387671,6.05897713,0,5.65248251,54.923687,86.4504166,1410.93286,1396.151,42.6781387,21.6254845
DHB021,26.8045979,0,25.7522411,0,38.0669289,4.59520483,0,0,25.0439129,0.294526488,28669.0156,32322.1816,19398.7266,8222.42969,6062.02832,4067.67676,115.463638,110.196617,0,0.851349175,5.15138006,0,9.97843456,62.8263588
DHB022,1037.02673,1418.32031,7605.10791,4519.62451,5107.46875,5131.98975,3248.32471,6985.78516,6791.40332,9705.7168,16467.7402,15410.79,16468.0566,11792.6436,16597.9414,17383.582,557.118225,2080.72876,3814.9751,3175.11353,7364.12939,9684.26172,3573.5188,12638.6318
DHB023,809.932739,640.501892,740.134949,1010.41956,36.1510086,0,43.9151611,1295.59497,0,29.330183,2292.16772,2915.99512,1542.18323,1572.67419,710.364685,1429.11731,27.6947193,350.659027,322.225189,75.1351624,235.469055,4233.70947,708.843689,1954.78735
DHB024,66.9471207,12.4985189,31.4164028,192.954407,5327.31445,4862.11523,16.5103226,1918.21069,177.735718,298.272858,3589.58594,3179.5249,194.225327,649.215271,1788.39575,1876.77527,0,904.190125,0,0,2.89815998,276.978363,16.1653061,347.945984
DHB025,90343.5859,67536.3672,39431.5273,18184.8457,399169.375,560044.063,47242.4297,33622.1445,67139.625,88683.625,99992.8594,90336.2031,119354.078,115527.313,96716.2422,121745.461,17300.8086,40007.043,23334.459,24169.9395,37129.7227,74767.5391,27397.6328,37373.7383
DHB026,12586.4697,9520.63184,26988.5957,16376.3604,2772.71509,3217.94678,10602.1279,20822.2324,414.361481,485.823364,42366.2227,47518.7461,53948.1836,33113.3672,10997.0918,15888.9746,3947.46313,5636.33789,6891.0708,3331.11743,2485.07227,33424.6641,14674.2197,22084.0996
DHB027,811.596069,434.013519,1462.53552,1217.73315,14.055068,28.3651466,708.077332,829.662598,5.88882685,33.0878525,1613.11511,2083.12427,1688.53857,2000.62585,481.235229,986.199646,166.102768,405.319702,1280.57019,205.855118,199.101563,3119.75439,735.562378,1668.15845
DHB028,85.9751053,10.7292709,0,92.3584366,9.71608639,0,128.311951,299.617645,11.5765753,14.9050264,776.408447,926.493225,23.7841606,0,230.156937,46.4919052,55.2585449,0,136.613831,152.976959,3904.16333,4382.64746,412.274719,2177.84033
