ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
NEDC171,0,40.6482849,0,4.22589016,0,0,19.759573,14.0290461,0,0,0,0,0,42.1329765,28.3768692,0,0,0,1914.22107,0,2295.05615,172.393585,0,0
NEDC172,85.3934555,174.551559,912.643188,614.257935,23.6257362,5.63608837,27.7636375,0,5362.75244,5224.25488,26.4692459,9.77188683,1918.44678,2460.15308,233.283112,1098.00623,497.188934,471.066406,168.409821,39.1161804,42.8852997,26.3928375,662.862671,249.296616
NEDC173,83.2559128,167.351364,875.147095,765.751343,208.762207,249.22551,120.252991,164.786591,127.615654,206.100067,424.459778,303.636169,139.755722,183.347534,21.6960621,28.1914234,55.9347,43.0255737,597.175842,249.292664,848.093079,739.580078,3517.49805,2730.24146
NEDC174,8184.51563,11079.5674,17010.7891,11789.5713,11252.6143,12975.8828,5129.84521,4634.21387,10568.4619,10381.8027,10998.5713,7117.06152,7493.39258,7623.56445,4802.7124,4932.66797,8558.4209,7657.93994,15269.4268,8839.55176,11535.083,8972.21875,2764.44482,4115.09424
NEDC175,7922.13184,10774.8135,16506.2539,11579.5137,10966.6611,12586.8203,4909.3335,4564.89648,10306.0361,10170.126,10862.9902,6916.56494,7228.37305,7420.63477,4511.01465,4630.53174,8191.73877,7393.90967,15081.1797,8475.73047,11351.8525,8755.05176,5364.14014,5433.02734
NEDC176,1952.92664,2516.26172,1179.29895,789.255371,1746.45789,3917.17627,428.959442,180.427246,469.405914,546.383118,5380.98877,2764.01343,83.0603333,254.053467,63.452076,52.8776283,151.16214,30.86586,66.254303,25.1059227,524.357971,408.455109,15.9133768,0
NEDC177,740.424194,1437.07422,3297.17065,2317.04932,509.122711,5458.79492,723.738953,298.570404,517.151245,917.914246,2251.02856,1286.71619,393.195618,313.315338,66.274765,238.315292,201.539215,344.823242,507.036194,119.78064,2303.43872,2144.23071,567.604248,139.941132
NEDC178,52.4621239,178.672226,48.0400505,50.0627022,9.65005684,0,49.0704117,45.6353073,21.3369198,31.53619,23.3001823,96.9548569,96.5666962,17.9828911,260.621002,0,13.4381475,15.5959959,3788.79272,27.3751259,5786.51074,483.799927,45.5583038,0
NEDC179,202.001801,263.02356,40.1090965,40.8207512,149.449127,30.0516472,83.2937546,2021.11987,56.7597771,97.7984619,48.5089149,78.7280197,103.977211,32.5185432,155.371429,252.797318,55.0345879,123.804886,89.6966553,25.4225159,30.039814,24.524271,630.221558,553.447021
NEDC180,10806.3633,13863.1035,22690.2031,15275.5664,17340.2656,22903.3477,13896.3828,11930.6318,35876.7148,37303.5586,18743.1699,10428.4209,25133.957,22981.5469,14257.8662,15697.2588,20877.2891,17577.5488,22888.9727,10200.7813,18719.666,16996.084,1410.81726,2169.89063
NEDC181,329594.781,381698.438,593857.125,402859.125,631124.625,844266.875,631364.625,505329.188,1571671.5,1612530,686775.188,391226.938,1044093.38,1046721.13,532466.25,609114.5,848607.75,716372.75,755249.375,278089.5,610945.625,552420.688,12571.1885,20495.6133
NEDC182,111940.883,128624.961,199625.203,135494.828,214637.75,287689.063,216241.609,171374.625,539874.938,555751.625,234445.484,132767.938,357348.25,358148.938,179173.875,206427.422,290353.563,248272.016,256731.5,92308.2188,206466.203,187177.859,4871.11914,7362.24121
NEDC183,4526.1748,5108.97314,541.607056,99.9034119,9197.00195,17308.1055,19.9219379,10.50737,0,0,6180.4502,2652.00928,60.2656403,180.33197,444.600006,1114.69165,86.5215607,39.9104729,25.1979637,4.10833597,454.765656,429.525726,0,0
NEDC184,2771.46875,3987.25635,7295.58057,4780.29395,2643.78906,4716.27441,1836.40967,1331.60803,4480.73242,4913.11084,3413.4375,1840.55835,3566.42407,3640.88281,2128.64478,2241.97607,2494.65356,2431.92236,4780.35547,2761.30493,3611.23267,3061.65845,601.365479,729.458801
NEDC185,126.009178,755.516724,0,121.526077,59.4102974,118.51181,241.431122,194.092331,112.354523,41.026371,38.9172745,123.081429,219.621521,177.284546,0,253.03949,367.119751,89.3319397,60.5227852,154.7892,36.0941811,3.27500749,105.671707,0
NEDC186,45.0102806,49.4947777,108.517899,112.698746,111.657661,638.26416,238.043182,225.52858,689.759155,1182.44727,164.030487,211.769257,903.039612,313.221161,601.023682,920.699036,289.104919,474.354004,1365.24084,581.94458,502.939362,783.166382,126.044662,697.145935
NEDC187,17.9346676,44.1306496,105.27285,7.47141409,420.182465,256.073242,7.58696747,0,22.344862,12.0982122,155.910477,231.922501,7.38944006,23.2742977,0,10.3812933,61.3175125,11.2590971,474.39267,163.938034,122.908997,127.469444,256.076447,347.431519
NEDC188,1646.30505,1904.02063,6057.76318,4223.35303,1425.57642,3297.61572,149.549225,117.758026,867.046204,972.765442,3357.1394,1813.70422,450.446716,374.080536,121.188194,236.834702,96.8842545,100.920929,7216.61279,3792.27344,6376.55615,5717.73438,385.605133,429.686401
NEDC189,3984.78296,6289.46631,6961.1709,5402.92188,2923.20386,3690.73218,2631.78247,1599.95862,7092.2832,5792.50098,6406.22852,2496.50098,3555.19629,5200.5542,28.6526527,197.485733,1283.36316,760.678406,2944.85376,308.024231,1353.29822,1078.30627,0,55.474678
NEDC190,25.1926308,40.9037857,8.39290524,68.4722977,230.821716,233.996918,687.304016,524.30188,3504.70972,3758.41479,594.473999,554.590515,2017.73621,4266.7207,86.318222,352.544464,707.413696,305.870789,73.9085007,34.8543396,323.783875,375.726135,38.3874969,24.7873573
NEDC191,6.23997355,0,0,56.4822884,116.160973,94.008606,334.081299,241.896835,1755.06787,1869.4209,270.265808,281.397278,961.282227,2176.26611,30.9213047,149.986465,363.775146,108.028244,1671.16296,32.645607,5191.73584,449.539337,26.6230888,13.2774553
NEDC192,4305.17285,8006.98438,23619.0684,18754.6602,7138.55615,8602.15137,1781.36877,1179.62671,15559.5703,12912.4775,14234.8799,6896.20801,10828.5752,13943.8115,1508.99829,3010.16748,4109.80127,2600.92944,8643.54004,1450.75415,3026.70947,2507.62891,260.580109,526.630432
