ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
APEBA030,346.435364,110.57386,246.795135,254.956665,830.113464,852.120728,1183.47766,1682.39917,47.6010437,49.6269913,0,137.126328,166.06134,126.615921,12.7406788,46.2958794,11.1262875,51.753315,32.5385361,275.375549,5.1601305,35.5803528,165.777435,505.908478
APEBA031,43.1910324,24.5854874,0,0,0,25.838007,0,0,1986.4812,2157.24927,1855.47339,1970.82373,191.1922,177.643311,423.655945,137.241196,0,34.9073296,0,0,0,9.99828911,43.2210274,90.5736389
APEBA032,215.041107,342.359833,46.9823532,116.903404,645.541382,1098.23364,3845.13794,7001.52783,15528.1162,16156.6318,23854.4492,26642.8672,7148.34619,10527.0068,11229.5703,4916.27197,97.9331512,480.466553,0,145.100357,207.379257,315.529266,2893.37817,4414.2251
APEBA033,223.088364,92.0413895,327.781952,398.481812,1425.73865,1853.37683,1127.22742,1416.75598,1643.53723,1143.02368,1041.21387,1459.81445,1141.93933,902.480164,3100.41821,2624.90259,0,84.7123871,54.745903,250.119873,47.9919319,38.8307991,861.232544,1338.98474
APEBA034,43.5255699,42.4347191,52.1964493,51.7272072,244.040863,207.109085,294.975311,639.574829,1199.7605,1214.06018,1860.1449,1886.08411,568.467346,730.500854,963.550781,384.923706,0,26.3624821,0,0,6.8833847,31.6524544,329.493073,270.269684
APEBA035,0,0,2.21866155,74.6048508,0,5.92349958,0,0,0,0,0,0,0,0,0,0,18.8498116,0,0,0,0,0,0,0
APEBA036,3067.58105,3127.46313,1546.50354,1806.38037,1897.94849,1375.82361,11627.8594,17141.6816,16003.0527,16037.6631,18607.4688,22288.0156,15852.124,20109.7207,16235.8076,7286.35156,248.576126,553.024475,321.013977,593.372314,1485.68787,1936.80457,19303.3164,23192.6797
APEBA037,703.757629,616.140076,500.292542,754.080139,1354.00586,1265.28943,2434.3667,4300.27148,3354.80859,3422.04248,3478.03906,4748.35938,3437.61841,4130.10645,3417.68188,1579.60657,482.113739,215.107254,246.412613,128.817764,834.482422,809.720276,4866.58398,5848.80811
APEBA038,0,0,0,0,7.04020262,11.920373,0,0,22.3654041,0,0,0,0,15.2575188,11.3307886,0,17.4193878,5.45690632,0,0,25.642662,15.5715179,15.5796661,0
APEBA039,163.653122,13.621089,113.337151,86.8727036,534.656982,170.962265,60.9949265,367.375641,129.096558,366.479614,106.725471,38.1596565,180.323715,437.286469,160.613358,462.620209,280.16333,254.724091,132.117752,378.396088,638.65979,622.79248,356.380646,539.224792
APEBA040,44.7006073,36.2235222,0,55.8982468,251.228638,282.926971,19.3875809,85.7907181,67.6950836,262.742523,54.2063332,63.5322266,10.3492136,110.23938,51.2249527,98.8633499,47.6320953,19.2741451,19.2179737,157.946716,134.340042,125.918198,284.919525,91.7202225
APEBA041,127.850082,99.1385193,0,6.2789607,949.737976,987.213806,135.414871,494.398254,1684.97192,1166.10852,2004.52063,1912.19214,1042.61206,1227.0675,1146.00586,604.255371,14.4111261,119.906525,62.1217995,43.0603371,159.249115,168.685364,590.060608,1007.77045
APEBA042,983.303589,952.424805,515.642822,879.119873,5022.13818,5164.52734,552.500671,1033.50342,1300.05835,822.182495,643.120728,1032.59473,1461.57898,2364.62329,1897.5,1233.02747,36.0863571,510.373444,624.697815,676.188599,602.676392,873.259583,781.258057,656.929871
APEBA043,673.68634,410.19278,416.304382,525.675781,1271.87952,968.221191,2135.56519,2719.39478,332.716248,125.195961,180.825439,274.742737,198.498734,231.233521,164.751068,98.3111954,7.60865355,27.6891632,59.417141,186.392517,15.0709534,24.1177979,657.634888,1016.50543
APEBA044,400.783264,340.677826,326.857239,352.194885,355.711365,454.517273,294.612396,674.016052,9.52581882,0,11.6960583,0,52.598156,41.0292168,0,42.3249931,0,32.9192047,0,0,6.62035322,0,354.462799,999.664917
APEBA045,1570.70374,1900.90979,19.1528854,60.4296532,819.697083,1444.37256,381.278992,1118.16821,16478.5762,18529.6602,16613.8027,19145.2441,4910.83301,4600.60449,5676.08545,2354.21655,98.5475616,749.904785,0,0,163.80217,197.625671,2405.59009,3078.64136
APEBA046,6050.24512,5787.52881,156.408905,186.375427,2289.81738,2540.96045,2683.47168,3131.32397,1151.15991,1168.47412,5482.64453,6279.59668,5584.12256,5207.54834,5258.66113,4017.22461,0,0,0,0,92.2723694,67.867424,9173.75488,10306.7617
APEBA047,11779.2627,12242.0078,7044.62793,7967.42188,58731.4063,58286.8789,39741.6406,42825.8867,15409.5176,16440.502,25106.7969,25800.0371,17255.1035,15382.0176,66438.2422,51871.2969,9.14399624,282.854553,66.6078796,64.2518997,162.223541,401.706116,22455.8066,15508.7188
