metabolite	EIO1-r1	EIO1-r2	EIO1-r3	EIO2-r1	EIO2-r2	EIO2-r3	EIO3-r1	EIO3-r2	EIO3-r3	DNO1-r1	DNO1-r2	DNO1-r3	DNO2-r1	DNO2-r2	DNO2-r3	DNO3-r1	DNO3-r2	DNO3-r3	EIC1-r1	EIC1-r2	EIC1-r3	EIC2-r1	EIC2-r2	EIC2-r3	EIC3-r1	EIC3-r2	EIC3-r3	DNC1-r1	DNC1-r2	DNC1-r3	DNC2-r1	DNC2-r2	DNC2-r3	DNC3-r1	DNC3-r2	DNC3-r3
Butyrate	1.9	1.9	1.8	1.8	1.8	1.8	1.7	1.3	1.3	12.4	8.1	8.1	12.2	8.7	3.2	1.9	1.9	26.2	0.3	0.3	0.9	0.3	0.3	0.3	0.3	0.3	0	6.1	2.1	2.1	18.3	0	0	1.9	1.9	4.2
Thymidine	1.3	0.7	0.9	0.6	7.1	2.8	0	0.3	0	13.5	4.1	8.8	10	9.3	5.8	2.6	3	15.2	0	0.3	1.2	0	0	0	1.2	0.6	0	6.3	1.9	1	11.8	1.7	5.4	1.1	3.4	4.1
3-Methyl-2-oxovalerate	0.9	0.3	0	0	6.4	3.1	0	0	0	20.4	3.4	10.1	5.2	8.5	3	1.1	0.6	20.5	0	0.6	0.7	0.3	0	0	0.3	0.3	0	7.5	0.4	0	15.4	1	4.1	0	0.8	9.4
Choline	4.4	4.8	4.8	4	2.2	2.9	3.7	2.9	2.9	3.9	3.4	3.4	3.6	3.6	3.7	6.4	2.6	4	1.1	1.2	2	1.3	1.3	2.4	3.4	3.4	3.4	2.7	2.7	2.3	4.3	2.8	2.8	3	4.4	3.9
Uracil	1.3	0.2	0	0.4	6.4	2.3	0.6	0.6	0	15.5	5.6	9.1	4.9	9.1	5.6	1.4	0.9	13.7	0	0	0	0	0	0	0.3	0	0	4.9	0.7	0	18.1	0	4.8	0.7	2.7	3
Propionate	2.2	3.1	5	2.2	4.9	3.9	1.4	1.1	1.2	8.5	5.6	3.1	5	5.4	2.8	1.9	2.1	6.4	0.2	0.6	1	0.3	0.6	0.6	1.4	0.9	3.2	3.4	2.7	1.8	6.3	1.7	3.4	2.1	3.6	5
Acetoacetate	3.6	1.9	0	3	0	1.6	1.2	3.2	3.6	1	2.3	5.4	4.3	4.3	1.4	2	2	2	2.7	2.2	4.2	3.2	4.6	2.8	1.8	2.6	4	2	3.6	2.9	0.4	2	1.1	10	3	5.9
Phenylalanine	3.1	1	0.6	1.6	5.9	3	1.3	0.2	0.3	6.3	3.3	3.1	4.8	5.7	2.4	2.4	3.4	6.9	0	0	0.6	0.8	0.6	0.7	0.7	1.4	0.8	4.2	1.7	1.6	5.8	2	5.2	3.2	7.8	3.2
Uridine	2.3	1.3	0.8	2.2	1.7	5.1	0.8	0.6	0.7	1.3	1.9	4.4	4.6	2.1	5.4	4.6	3	6.1	0.7	0.8	1.8	1.1	0.8	1.2	1.1	1.9	1.2	4.8	1.8	1.8	0	1.6	3.7	4	4	5.8
Succinate	0.8	1.2	2.2	0.3	4.9	2.4	0.3	0.1	0.6	9.1	5.7	2.4	6	4.4	2.2	1.3	1.3	7.5	0	0	0.7	0	0.3	0.2	1.7	0.4	0.4	3.7	1.6	0.3	7.7	0.2	4.1	0.6	0.6	4.7
Oxypurinol	1.9	0.6	0	0.7	1.1	3.8	0.2	0.2	0	5.6	3.4	6.2	5.7	5.6	3.8	2.8	1.3	9.5	0	0	0	1.9	0	0	0	0	0	2.9	0	0.6	7.2	0.7	5	0.8	1.2	5.2
2-Methylglutarate	0.8	0.1	0.2	0.2	4.4	1	0.4	0.3	0	21.6	1.8	3.8	2.7	4.4	1.3	0	0.3	7.9	0	0.3	0	0	0	0	0	0	0	3.9	0.8	0	9.3	0.3	2.6	0	0.7	3
Malate	4.6	3.1	3.1	0.7	4	5.9	1.7	1.7	1.7	5.7	4.6	4.6	2.9	2.9	2.9	0	0	0	1	1	1	0.9	1	1	0.9	0	0	0	0	0	0	0	0	2.3	2.3	10
Citrate	1.4	0.9	0	0	1	0	0	0	0	13.1	2.6	3.2	4	4	1.3	0.6	0.6	4.6	0	0	0	0	0	0	0	0	0	1.7	1.8	0.9	16.5	2.6	2.6	1.4	3.3	2.4
Benzoate	1.3	0.9	1.1	0.9	2.1	2.1	0.9	0.9	0.8	4	2	3	3.6	3	1.9	1.6	1.1	4.8	0.7	1.1	1.8	1.3	0.8	1.8	2.1	1.1	1.1	2	1.8	1.3	4.4	1.7	1.7	1.4	2.3	4.9
4-Aminobutyrate	1.4	0.8	1	1.4	4.3	1.6	1.6	0.7	1.7	1.2	0.8	2	0.9	1.3	1.2	2.4	1.2	2.8	0.7	1.2	1	0.9	0.9	1.2	0.1	1.8	0	1.4	0.8	0.6	1.8	1.6	1.7	2.2	4.6	1.4
