metabolite	DNC1-r1	DNC1-r2	DNC1-r3	DNC2-r1	DNC2-r2	DNC2-r3	DNC3-r1	DNC3-r2	DNC3-r3	DNO1-r1	DNO1-r2	DNO1-r3	DNO2-r1	DNO2-r2	DNO2-r3	DNO3-r1	DNO3-r2	DNO3-r3	EIC1-r1	EIC1-r2	EIC1-r3	EIC2-r1	EIC2-r2	EIC2-r3	EIC3-r1	EIC3-r2	EIC3-r3	EIO1-r1	EIO1-r2	EIO1-r3	EIO2-r1	EIO2-r2	EIO2-r3	EIO3-r1	EIO3-r2	EIO3-r3
Choline	0.8	0.8	0.8	1.5	1.5	6.7	1.5	1.5	6.7	2.5	2.5	2.5	1.7	2.6	2.6	0.8	19.4	0.8	13.3	13.3	4.6	4.4	4.4	2.6	0.6	5.5	1.5	7	7	6.8	7	3.3	2.5	8.4	4.7	5.1
Vanillate	5.9	6.5	0	3.9	7.1	0.8	5.1	6.4	2.2	2.4	3.9	3.4	4	5.6	0	1.3	4.8	6.6	8.3	4.6	11.2	6.2	2.8	7.9	0	7.1	4.8	12.3	0	1.5	0.7	0	3.1	4.2	2.4	4.1
Tyrosine	5.4	5.4	5.4	5.7	4.8	11.3	4.8	8	5.2	4.4	4.4	3.3	4.4	4.4	4.4	4.4	5.8	7.2	3.1	2.8	3.1	2.9	2.9	3.2	1	2.4	2.4	3.8	2.4	1.1	2.9	1.6	1.6	3.4	1.6	2.1
4-Hydroxybenzoate	3.5	12	10	4.9	4.6	4.2	5.2	9.7	4.8	5.6	4.5	5.9	5	7	8.2	0	5.1	5.6	2.1	2.5	2.8	1.7	1.3	3	0.4	2.7	2.1	3.2	0.7	1.1	2.5	0	1.5	4	1.9	1.8
Caprylate	6.7	4.5	4.5	4.5	4.5	4.5	3.5	4	4	7.3	7.3	4.2	7.3	7.3	7.3	6.7	6.7	6.7	2.8	2.8	2.8	0	2.8	0	0	0	0	2.8	2.8	4.3	2.8	2.8	2.8	2.8	2.7	2.8
Fumarate	3.6	2.4	1.9	2.3	1.3	2.4	0.6	2	5.7	3.1	1.7	2.6	3.4	6.1	2.1	2.4	1.3	2.5	2.7	2.1	4.6	3.7	3.7	4.4	2.1	9.5	1.8	2.7	5.4	2.7	2.7	6.3	6	16.9	0.9	1.7
Threonine	0	7.8	7.8	7.8	5.1	7.9	10.6	10.6	10.6	4.4	3.6	3.2	2.1	2.2	3.9	1.8	3.9	5.3	0	1.1	0	0	1.2	0	2.5	3.1	1.1	0	0	1.6	1.7	2.9	3.5	3.7	1.1	3.1
Malonate	0	0	0	0	8.6	0	0.6	19.7	1.1	4.7	2.6	2.6	2.6	2.5	6.2	6.6	0	0	11.6	11.6	3.7	1.7	1.3	1.7	2.9	2.9	2.9	5.1	2.3	1.1	0.6	4	4.4	0.6	2.1	1.9
Phenylalanine	4	4	4	4.3	4.4	10.9	5.5	5.7	2.1	4.6	4.4	2.9	4	2.3	4.9	3	3.6	5.4	4	0.6	3.4	0	0	1	0	2.3	1.6	4	4	1.6	4	3.1	1.4	4	2.3	2.6
Propylene glycol	3.1	2.7	2.4	2.4	2.9	3.5	2.9	2.9	2.9	3.9	3.4	2.4	3.2	3.2	3.2	4	2.6	2.2	2.9	2.9	2.9	2.9	2.9	2.9	2.8	3.1	1.9	3.5	2.4	3.7	2.4	2.4	2.4	3	2.4	3.9
Uridine	4.4	8.1	4	2.5	3.4	4.1	4.6	5.2	5.2	1.6	2.1	4.2	3.5	3.1	4.7	0	0	0	2	2	0	1.1	1.1	1	0.8	0.7	0.9	3.4	3.4	3.4	3.3	1.8	1.4	4.9	1.2	2.1
Ethylmalonate	2.2	3.5	3.5	3.5	1.3	3.5	1.3	1.3	1.3	2.2	2.2	2.2	2.2	2.2	2.2	1.5	2.2	2.2	2.2	2.7	2.2	2.7	2.7	2.7	1.5	1.5	1.5	2.2	2.2	2.2	2.2	2.2	2.2	5.2	2.2	5.2
Benzoate	2	3.2	3.2	3.2	1.4	1.4	3.1	3.1	1.3	2.9	2.3	2.3	2.3	2.3	2.3	1.9	3.8	3.8	5.3	1.8	2.7	2.2	1.4	1.8	0.6	2.7	0.9	2.2	0.8	0	1.6	0.9	1.5	1.6	0.9	1.6
Ethanolamine	2.2	2.2	2.2	1.4	1.6	2.6	2.6	2.6	2.6	1.1	2.1	2.1	1.2	1.2	2.4	0	4.7	2.2	3	3	3	3.9	1.6	3.9	0	0	0	3	3	0	1.9	1.9	1.6	1.9	1.9	1.9
Butyrate	1.4	4	4	2.5	2.5	2.5	2.5	4.9	4.9	2.2	2.2	2.3	2.7	2.7	2.7	0	0	0	4	1.3	0	2.3	2.3	2.4	0.8	0.8	0.4	3.1	1	2.1	1	1	1.3	1.8	1	1.8
Succinate	2.3	1	1.7	2.1	0.2	3.4	0.4	1	2.2	1.7	3.3	1.1	3	2.3	2	2.2	3	3.3	0.4	1	1.7	0.8	2.3	1.4	1.4	3.1	0.4	1.9	2.5	2.2	0.3	8.2	1.6	3.7	0.3	0.3
Pyruvate	0.7	1.9	1	1.4	1.4	1.4	1.4	1.1	1.1	1.2	1.9	0.9	1.9	1.1	1.1	1.2	1.2	1.2	4.4	1.9	4.7	1.2	2.2	1.3	0.6	3.1	0.6	2.5	2.5	2.5	2.5	2.5	2.5	2.5	0.6	2.3
Propionate	1.5	1.5	1.5	1.7	1.3	1.7	1.3	1.7	1.7	2.9	2.3	1.7	2.6	2.4	2	2.1	2.1	2.1	1.5	1.5	2.8	1	1.6	1.1	0.9	1.9	0.6	1.5	1	1.5	2.1	1.9	1.1	2.8	0.7	2.4
3-Hydroxybutyrate	4.1	3.2	2.9	4.2	1.8	4.2	0.9	4.3	2.1	3.2	3.1	1.4	2.9	4.9	2.3	3.3	2.2	0	2	2.1	3.4	2	2	2	0.4	1	1	1	1	0.9	2	6.1	0.5	2	2.1	1.1
