NMR_weight,RPPOS_mz,RPNEG_mz,HPOS_mz,HNEG_mz,FTICR_NeutralMass
,219.026,506.298,269.1372,325.201,158.2633472
,381.079,519.13,306.18972,327.217,158.291068
,226.107,389.123,257.13735,209.949,158.534551
,210.112,368.134,243.10064,124.987,158.5349493
,263.171,401.181,275.12659,380.22,158.5434078
,203.052,389.123,227.12692,218.026,158.5438263
,475.177,533.168,194.11685,230.013,158.7052472
,247.176,390.249,354.18937,242.07,158.7084672
,448.166,407.239,223.16848,208.098,158.7163535
,490.176,686.338,599.38588,249.004,158.7206115
,476.161,656.327,307.15259,257.067,158.7225675
,256.081,486.141,301.24725,197.01,158.7690655
,116.071,500.156,272.2572,95.9519,159.0550485
,458.187,500.157,207.1582,261.008,159.103513
,85.0284,470.146,344.14762,307.064,159.1696595
,319.259,317.066,244.22607,174.008,159.3702765
,261.181,371.113,316.21035,276.031,159.37093
,291.166,573.235,297.13212,231.135,159.3803775
,202.18,327.217,216.195,344.097,159.3874127
,460.202,329.232,300.21569,239.02,159.3882505
,241.154,327.217,313.23604,183.066,159.3901025
,150.058,329.233,157.12182,237.04,159.5609635
,302.196,327.217,416.22582,181.014,159.5831665
,402.212,327.217,485.35584,335.044,159.6177605
,316.212,293.176,360.19991,175.015,159.7053895
,241.154,325.201,234.20526,193.035,159.716445
,264.144,309.207,296.25688,177.04,159.8836815
,232.028,160.975,178.10657,138.032,160.0130031
,466.193,635.213,227.17426,153.055,160.0439371
,120.081,300.129,209.13736,357.118,160.0498615
,302.196,649.229,165.11141,347.043,160.0542035
,258.17,650.213,253.1633,241.072,160.0549328
,105.07,699.219,218.21042,133.05,160.1105945
,480.208,771.241,97.03929,144.03,160.2734405
,247.144,579.176,195.12191,199.037,160.388666
,316.212,518.168,239.14766,377.144,160.5023102
,278.15,390.249,151.09576,317.069,160.6278425
,577.275,396.217,233.14843,387.092,160.6282245
,362.254,,246.24139,171.029,160.7146865
,308.16,,218.21022,211.025,160.7158193
,637.296,,148.09601,201.03,160.7190538
,301.074,,202.17914,274.049,160.7199052
,485.109,,150.11181,241.108,160.7311827
,354.145,,188.19993,119.034,160.9828825
,375.144,,346.25702,359.086,161.3143955
,520.182,,529.31249,439.07,161.3532391
,664.224,,332.24148,401.181,161.3788205
,640.355,,210.1114,207.051,161.3909468
,332.243,,302.19466,221.093,161.4434875
,348.275,,231.16925,182.032,161.5220565
,430.244,,346.1114,209.066,161.5996665
